"logFC","logCPM","LR","PValue","FDR"
"K08692",-0.743395070499209,2.53381888123377,7.82125859905914,0.00516352251859922,0.337601545345268
"K16247",2.67990631741239,4.1182975985321,7.79493115455116,0.00523930068012172,0.33874989619587
"K12949",-0.516199180396082,0.217971553804664,7.72880583707688,0.00543466814001076,0.347520152821128
"K16425",-0.659994269792731,-0.302266159089557,7.64485161075448,0.00569345795418823,0.360111215602406
"K03633",-0.732537860600992,0.257942601173957,7.57370033243213,0.00592260693532493,0.370576879103826
"K16027",-0.649273088480949,0.915807580600811,7.45062500197772,0.00634144254428425,0.392562278353086
"K14250",-0.599709523793893,0.969906226629596,7.29818512817539,0.00690242963570085,0.422791979475192
"K09928",0.39668131036785,5.34920036069846,7.23473346763147,0.00715064251290669,0.433433216485459
"K02004",0.146462158490272,11.6487080793644,7.16829900983969,0.00742031011463097,0.445142108835439
"K17876",-0.540320523941532,0.664444429656133,7.10395932041585,0.00769138669243687,0.449407719426372
"K07263",0.166125496649643,10.5228477337966,7.09849842854391,0.00771485570468089,0.449407719426372
"K01406",0.299223256156397,8.15373726191944,7.09658201787953,0.00772310911542141,0.449407719426372
"K12673",-0.683868619076967,-0.124856229154956,6.88771542581843,0.00867901208054161,0.500031398976947
"K15956",-0.559732265221593,-0.0932070476775134,6.81832395445926,0.00902272067058831,0.514737368452484
"K07636",0.134025399629868,8.8690047980461,6.77127343197167,0.0092636712878943,0.523352458487931
"K10811",-0.707594609309243,-0.0174287042944182,6.73077154923026,0.0094763601270551,0.530220572878208
"K01907",-0.188122150411214,9.06638555114601,6.67084534738234,0.00980026936218687,0.543121594462528
"K19051",0.502056789833452,0.401752811334237,6.63783973277048,0.00998349233867903,0.548056055837484
"K14257",-0.494989373807265,4.66230318159299,6.59588110394085,0.0102214958149438,0.552413527628564
"K11611",-0.49217263625986,0.119301368776137,6.57798277065024,0.0103247835993899,0.552413527628564
"K03826",1.79154622217557,0.128402023942884,6.55190138590142,0.0104772135932132,0.552413527628564
"K00067",0.144244113574647,10.4196613894742,6.53851400271247,0.010556349096214,0.552413527628564
"K03650",0.186570567376166,8.68555950212581,6.53373181399524,0.0105847659346083,0.552413527628564
"K00496",-0.232307211741923,6.0173594685846,6.52573416039779,0.0106324652164288,0.552413527628564
"K13315",-0.601198270436122,2.82762431757986,6.49927036658084,0.010791877100072,0.555733918985124
"K14698",-0.577848700272883,0.653985056210336,6.47664345623448,0.0109301199237432,0.557915507335628
"K01535",-0.515274840635512,1.02008471148392,6.38420708473886,0.0115140185883297,0.582609340569482
"K02687",0.180555065167331,8.18754090041212,6.32057965151948,0.0119344610081005,0.598677832811524
"K12434",-0.541135140308811,2.2430546485363,6.26125902322307,0.0123406472035878,0.613762616048527
"K03215",0.129358780858953,8.93169134293023,6.23634806002579,0.0125154287685768,0.617180339019901
"K01854",0.106004837639705,9.70558286244658,6.05696586069992,0.0138515467364804,0.67732899545865
"K08679",0.128417936682281,8.30106039621582,6.01552202867779,0.0141805830610907,0.685605160295344
"K19856",-0.576208362916045,0.261937457021791,5.98718267256207,0.0144101997887187,0.685605160295344
"K19620",0.540841879677444,1.68067104356175,5.98293359297752,0.0144449559657037,0.685605160295344
"K16229",-0.637906933605104,0.185916671917793,5.97718882673362,0.0144920836426065,0.685605160295344
"K16108",-0.575374380341187,0.680332551736953,5.92981437578137,0.0148868098799151,0.687005174170699
"K02364",-0.401939991711516,3.38702959458874,5.92453918255411,0.0149314427271867,0.687005174170699
"K18481",-0.471877932480491,4.01211193452867,5.90696894936048,0.0150810989744551,0.687005174170699
"K08167",-0.39344555503402,6.62208455554556,5.8974446369941,0.0151628680616244,0.687005174170699
"K00097",0.0955177490881987,8.9591391389236,5.89154938171359,0.0152137092587086,0.687005174170699
"K03572",0.0932014312402614,9.57117753579748,5.88965878118393,0.0152300511201272,0.687005174170699
"K13524",-0.471506848231101,0.44261728371282,5.85117915318725,0.0155666174473608,0.693082634377816
"K05551",-0.404623230768839,3.95553714799193,5.83828800408602,0.0156810771575711,0.693082634377816
"K18215",-0.564633236872615,-0.118666443591919,5.81125042150724,0.0159239677727009,0.693082634377816
"K12443",-0.428026949053185,2.97756615464689,5.79271341439446,0.0160927315977958,0.693082634377816
"K13327",-0.457072263132788,1.82198475404285,5.78970612368693,0.0161202837586725,0.693082634377816
"K16384",-0.495058847618897,3.82217766974114,5.77147578427785,0.0162883503851003,0.693082634377816
"K14731",-0.224440064958512,6.14346377989105,5.76862187681155,0.0163148238068488,0.693082634377816
"K01909",-0.606583858365161,0.90652137728502,5.76831905028131,0.0163176354888745,0.693082634377816
"K16383",-0.603198438569962,0.560833604893144,5.73542255098756,0.0166260674366682,0.697909115080963
"K10201",-0.292792761707561,5.10126832093,5.73066793758218,0.016671140573338,0.697909115080963
"K08170",-0.753336006892847,-0.224299309175449,5.68063514292619,0.0171531572379032,0.711082869637835
"K03555",0.102217974142762,10.0411884484272,5.67277019504574,0.0172302259183596,0.711082869637835
"K16022",-0.429935489303488,2.27530996303802,5.61327927682553,0.017824874931677,0.728313825110515
"K05811",0.639273750792413,0.0171803787269217,5.60609840676467,0.0178980713165155,0.728313825110515
"K13317",-0.48103033214153,0.07748443286865,5.59130121298888,0.0180498829517922,0.729390756225548
"K16131",-0.632135946480304,0.0657990094685188,5.57525831526297,0.0182159777697633,0.731026032015535
"K09681",-0.374311884223911,1.61724558620267,5.51135870159676,0.0188933643128097,0.748391568503837
"K18232",-0.284892873773609,5.59767947655108,5.51019656046051,0.0189059220776876,0.748391568503837
"K04780",-0.41352223328675,5.05186721112713,5.4567330953403,0.0194930588985133,0.766363852336479
"K15926",-0.544967709113117,-0.0870768133216661,5.44509571244559,0.0196233397487773,0.766363852336479
"K14370",-0.763559314567499,-0.725454273563522,5.42964197562153,0.0197977375983384,0.768020233898207
"K08640",-0.75173531874148,0.992251519727707,5.4160691937386,0.0199522303163292,0.768887604044501
"K07109",-0.49439965963054,-0.0123059884040056,5.39415744613355,0.0202042778401326,0.77347824178771
"K14201",-0.464559364909442,0.599904605367939,5.33144804222594,0.0209439772760879,0.796555580193174
"K04793",-0.428194496487443,1.00298891950836,5.29049473472756,0.021442127735309,0.796734670023061
"K15855",-0.780502985208269,3.01337649064308,5.28281664792226,0.0215368801462503,0.796734670023061
"K00375",-0.208186291457371,8.53147123478461,5.27374892219818,0.0216493401577099,0.796734670023061
"K08368",-0.643855334080842,3.787107124088,5.27108183738412,0.0216825335530347,0.796734670023061
"K18226",-0.325594421964444,3.47027102841746,5.26339656594796,0.0217784761994378,0.796734670023061
"K15928",-0.559315432677037,2.04296462593082,5.24584729792846,0.0219992124979411,0.796734670023061
"K03044",-0.440228560790922,0.687987056262086,5.24503356666231,0.0220095037253812,0.796734670023061
"K08738",0.148239926782358,8.49817504707598,5.24230547011572,0.0220440422536025,0.796734670023061
"K18225",-0.287072719282001,5.14267045598558,5.22339102648449,0.0222850541175699,0.799469870053815
"K17329",-0.337406080187062,5.37255378906675,5.20604735780114,0.0225084502853647,0.799469870053815
