"diff","lwr","upr","p adj"
"C-B",39.670822437841,11.5522940053869,67.7893508702952,0.00354207762322667
"S-B",35.5452613330115,-10.3721033186242,81.4626259846471,0.15889223103737
"S-C",-4.12556110482956,-47.0773227623259,38.8262005526668,0.970992804103647
