"logFC","logCPM","LR","PValue","FDR"
"K05385",-1.67009223384149,2.46348639289899,34.9468738583752,3.3882496025853e-09,3.86592636028311e-07
"K11477",0.80893260982321,2.8247538268822,34.7144857562393,3.81780172648391e-09,4.27226697046344e-07
"K11959",-0.632062867301972,7.61682287989948,34.4881966496439,4.28843981211711e-09,4.70838325786971e-07
"K00218",-1.43915770064295,4.35356520648637,34.2285646904995,4.90043461722296e-09,5.22395696105222e-07
"K11520",-1.404499000471,4.87963132529772,34.2138701906969,4.93757746791326e-09,5.22395696105222e-07
"K19333",0.760472100875205,0.200242744731967,34.0424908226042,5.39216004927022e-09,5.572159568973e-07
"K05383",-1.66556160904318,1.24799397547499,34.0188022161688,5.45820751729611e-09,5.572159568973e-07
"K06919",-0.704090139880248,9.2171125766344,33.8805904827891,5.8600407661903e-09,5.87512532153589e-07
"K18534",-1.6455068330689,3.43019787251459,33.7987431657909,6.11183359912125e-09,5.87512532153589e-07
"K07015",-1.43475049798191,4.07651122436599,33.7831307914963,6.16107964212659e-09,5.87512532153589e-07
"K07246",0.27323833833436,7.85160126526543,33.779508437034,6.17256229984104e-09,5.87512532153589e-07
"K03457",0.292813365623896,8.12477796749467,33.7522065338012,6.2598001363675e-09,5.87512532153589e-07
"K01437",-1.88552777022035,4.04771178591951,33.1916664545341,8.35076527903699e-09,7.71319097757401e-07
"K00214",-1.8032912836681,4.37804374322445,33.0797800511399,8.84538163673918e-09,8.04238683502895e-07
"K08479",-1.38079568148858,4.70060041401531,32.9514112723623,9.44911290047517e-09,8.42029547977439e-07
"K07074",-0.383423062816329,6.75926404749987,32.9306767213321,9.55042965569874e-09,8.42029547977439e-07
"K00835",-1.53970935493222,4.71386910120385,32.88372962012,9.78386982499895e-09,8.49736395696551e-07
"K18814",-1.61730409470026,4.78742757213193,32.7284973173668,1.05972127715274e-08,8.8924768089345e-07
"K08481",-0.56869837177257,6.42068886771312,32.7189164564006,1.06495753632788e-08,8.8924768089345e-07
"K00050",0.19901465312842,7.63311816141047,32.7102330579688,1.06972568590035e-08,8.8924768089345e-07
"K02286",-1.74207346665005,4.78152630760498,32.6804537675826,1.0862408203371e-08,8.9025849768191e-07
"K00481",0.216401015211767,7.97421073668968,32.6517916450422,1.10237753634555e-08,8.90935400554828e-07
"K07397",0.235356804331548,7.71109523386963,32.5712860396132,1.14899794303471e-08,9.15893017879312e-07
"K05575",-1.68847600214594,6.92614961478844,32.0663339956254,1.48997062960574e-08,1.17164041806429e-06
"K08967",-0.81288723474467,5.12346148664973,31.8924526023994,1.62949072662196e-08,1.25916755202726e-06
"K15226",-1.62531164035084,3.9888342515531,31.8745763790933,1.64455634909902e-08,1.25916755202726e-06
"K01055",0.266014106415816,7.30971282118822,31.8281671025363,1.68432342737869e-08,1.27212948831205e-06
"K03867",-1.32647969323533,4.36680238486798,31.8042310023,1.70520880028081e-08,1.27212948831205e-06
"K18805",-1.68037645569301,3.99239986610321,31.7347958963116,1.76727354069565e-08,1.30174237130481e-06
"K05577",-1.2726348379492,7.13175043331805,31.6301854049329,1.86507897760566e-08,1.35661182133591e-06
"K02698",-1.75774125893164,3.46418083531305,31.594206660634,1.89995555264776e-08,1.3649186865256e-06
"K19120",-1.6274286537307,3.52985453036657,31.4752675567804,2.01996825371624e-08,1.42008885793814e-06
"K08302",-0.92010397505453,3.65462900038863,31.4698992182699,2.02556066693358e-08,1.42008885793814e-06
"K05584",-1.71502075808591,2.95272982687827,31.326783249425,2.18050670571792e-08,1.4943817290359e-06
"K11521",-1.28585811584334,4.0430659802109,31.3246611972386,2.18289133816896e-08,1.4943817290359e-06
"K19147",-0.49013790127288,6.04960678373083,31.1912367294434,2.33819219886286e-08,1.58208609362593e-06
"K16188",-1.74860605472681,2.80611618955533,31.0863344360524,2.46802845106157e-08,1.65074224789968e-06
"K13799",-1.06954796458807,5.36473462988762,30.9678889156485,2.6233293933525e-08,1.73467656135434e-06
"K17244",-1.30464991556228,4.90987668904932,30.940624925771,2.66044113965676e-08,1.73945022378233e-06
"K09835",-1.25078631326519,5.01418995750007,30.8614839745303,2.77117392465218e-08,1.77865502932399e-06
"K12073",-1.637767174345,3.13765004183336,30.8542406315659,2.7815364782348e-08,1.77865502932399e-06
"K09127",-1.52312566834764,3.45111230474128,30.7940975388598,2.8690921610144e-08,1.81470079184161e-06
"K14268",2.0363885765994,2.00859088426282,30.762699080932,2.91589324014375e-08,1.82447126498887e-06
"K07773",-0.977694061328136,-0.275926063887007,30.7408727722107,2.94887638195785e-08,1.82547996453327e-06
"K14606",-1.75074634166572,4.93190036116169,30.7011873775048,3.00980812115464e-08,1.84358667968409e-06
"K17108",-1.50808264782809,5.61694790666399,30.603293424645,3.16555943083196e-08,1.91879065916783e-06
"K10942",1.11450962561815,2.72101749442566,30.5580382189812,3.24026583469639e-08,1.94382545279364e-06
"K08699",-1.69344161076967,3.1604692453543,30.4797136925261,3.37376038188332e-08,2.00325629205908e-06
"K07317",-0.619073804538526,5.37899308673534,30.4285171391602,3.4639825651095e-08,2.03605197438103e-06
"K07086",-0.920815698102952,5.67539052188165,30.3351960906531,3.63470409747722e-08,2.10901080014153e-06
"K09123",0.339529403151733,6.1296504333306,30.3214275126612,3.66059616453505e-08,2.10901080014153e-06
"K05356",-1.38223227334776,4.39633550010736,30.2625505814198,3.77341620734186e-08,2.15269695201199e-06
"K01960",1.21174440995587,3.31018698931917,30.0912671582271,4.12183170889879e-08,2.31134777658325e-06
"K13421",-1.24505204359275,5.04045816745079,30.0869803668857,4.13095323534384e-08,2.31134777658325e-06
"K09777",-1.25773425725311,2.97775032417471,29.9950621212068,4.33147912938252e-08,2.40046448132161e-06
"K07079",-0.917963333441717,6.14681642591814,29.9603780755205,4.40965399247203e-08,2.42073363982969e-06
"K02093",-1.62574364087025,3.53849508032621,29.737772238034,4.94616271038756e-08,2.68988044969582e-06
"K11952",-1.54699018489195,5.2585775485452,29.6213306622865,5.25237487625874e-08,2.82996013008793e-06
